"","Name","Ratings","Language","Year","Num_of_episodes","Genre","Duration","Network","Director","Screenwriter","Top_cast"
"https://mydramalist.com//32296-blue-eye","Kill It","8.2","Korean",2019,12,"Action,Thriller,Mystery,Drama","Duration: 60 min.","Viki","Ahn Ji Sook,Nam Sung Woo","Choi Myung Jin,Son Hyun Soo","Nana,Jang Ki Yong,Roh Jeong Eui,Lee Jae Won,Jung Hae Kyun,Ji  Il Joo"
"https://mydramalist.com//4273-gods-quiz-season-3","God's Quiz Season 3","8.2","Korean",2012,12,"Mystery,Drama,Medical","Duration: 50 min.","","Park Jae Bum","","Ryu Deok Hwan,Ahn Nae Sang,Choi Jung Woo,Han Seo Jin,Park Hee Bon,Na Yoon"
"https://mydramalist.com//18774-something-about-1-percent","Something About 1 Percent","8.2","Korean",2016,16,"Comedy,Romance,Drama","Duration: 40 min.","Netflix,Viki","Kang Cheol Woo","","Ha Seok Jin,Jeon So Min,Im Do Yoon,Lee Hae In,Kim Sun Hyuk,Seo Eun Chae"
"https://mydramalist.com//7974-doctor-x-2","Doctor X 2","8.2","Japanese",2013,9,"Drama,Medical","Duration: 45 min.","Netflix","Matsuda Hidetomo,Tamura Naomi","","Yonekura Ryoko,Uchida Yuki,Kishibe Ittoku,Shida Masayuki,Kito Shinya,Fujiki Naohito"
"https://mydramalist.com//3164-history-of-the-salaryman","History of the Salaryman","8.2","Korean",2012,22,"Mystery,Comedy,Melodrama,Political","Duration: 1 hr. 5 min.","Viki,SBS World,Kocowa","Yoo In Shik","Jang Young Chul,Jung Kyung Soon","Lee Bum Soo,Jung Gyu Woon,Jung Ryeo Won,Hong Soo Hyun,Kim Eung Soo,Lee Gi Young"
"https://mydramalist.com//61977-zhui-xu","My Heroic Husband","8.2","Chinese",2021,36,"Historical,Comedy,Romance,Drama","Duration: 45 min.","Viki,Prime Video,NewTV<U+70ED><U+64AD><U+5267><U+573A> Hit Drama,Chinese Drama HQ","Deng Ke","","Guo Qi Lin,Song Yi,Jiang Yi Yi,Gao Shu Guang,Hai Yi Tian,Shang Yu Xian"
"https://mydramalist.com//15843-highlow","HiGH&LOW","8.2","Japanese",2015,10,"Action,Friendship,Crime,Youth","Duration: 21 min.","","Kubo Shigeaki,Chimura Toshimitsu","","Iwata Takanori,Suzuki Nobuyuki,Machida Keita,Yamashita Kenjiro,Sato Kanta,Sato Taiki"
"https://mydramalist.com//32127-ugeumchi","The Nokdu Flower","8.2","Korean",2019,48,"Historical,Romance,War,Political","Duration: 35 min.","Netflix,Kocowa,SBS World","Jung Hyun Min","Shin Kyung Soo","Jo Jung Suk,Yoon Shi Yoon,Han Ye Ri,Choi Moo Sung,Park Hyuk Kwon,Min Sung Wook"
"https://mydramalist.com//39-sungkyunkwan-scandal","Sungkyunkwan Scandal","8.2","Korean",2010,20,"Historical,Comedy,Romance,School","Duration: 1 hr. 10 min.","Viki","Kim Won Suk,Hwang In Hyuk","","Park Yoo Chun,Park Min Young,Song Joong Ki,Yoo Ah In,Jeon Tae Soo,Seo Hyo Rim"
"https://mydramalist.com//22234-queen-of-mystery","Queen of Mystery","8.2","Korean",2017,16,"Action,Mystery,Comedy,Drama","Duration: 60 min.","Viki,Apple TV,Kocowa","Lee Sung Min","","Choi Kang Hee,Kwon Sang Woo,Lee Won Keun,Jeon Soo Jin,Park Joon Geum,Kim Hyun Sook"
"https://mydramalist.com//2202-gods-quiz-season-2","God's Quiz Season 2","8.2","Korean",2011,12,"Mystery,Drama,Medical","Duration: 50 min.","","Park Jae Bum","","Ryu Deok Hwan,Yoon Joo Hee,Choi Jung Woo,Lee Ha Rin,Choo Seung Wook,Lee Seol Hee"
